ticker_symbol,text,created_at,compound
AMZN,@lisaabramowicz1 @SoberLook I wonder if there is an out sized effect from $AMZN and $GOOGL in this since they are both enormous and don't buyback stock,2020-04-14 21:28:16+00:00,0
AMZN,$ZM $WMT $DOCU $QDEL $NG $RACE $RDY $QLYS $NEM $SHOP $AMZN,2020-04-14 21:18:27+00:00,0
AMZN,"S&amp;P 500 Stocks with the highest Price Range Ratio: $REGN $LLY $DG $AMZN $WMT
https://t.co/6AJ5tKY0p9 https://t.co/X86ButW1gF",2020-04-14 21:18:08+00:00,0
AMZN,"Bill continuing his incredible week! 🚀

$AMZN $SPX $NFLX https://t.co/LZgI6OxpKi",2020-04-14 21:16:59+00:00,0
AMZN,@Molson_Hart It's almost as if $AMZN sees headwinds and is hoarding cash. cc: @realwillmeade,2020-04-14 21:13:31+00:00,0
AMZN,"$AMZN built a really nice uptrend today with the +1 deviation band acting as a key over/under area all day. Nearly broke down late with that sharp pull around 3:00, but popped back above the dev band and reclaimed before that last mini ramp. https://t.co/knmOeHHyPA",2020-04-14 21:10:38+00:00,0.038
AMZN,"@Matt_Cochrane7 @CCM_Brett If you want to understand $LULU, shop for women’s leggings on $AMZN. 

The product descriptions and customer reviews usually compare against $LULU. It’s the product to beat, but nothing does.",2020-04-14 21:07:00+00:00,0.039
AMZN,RT @ZacksResearch: 10 Stocks Leading the Rally in the S&amp;P 500 ETF. $SRE $ALXN $AMZN $WRK $NEM https://t.co/NwMkwU4qHf,2020-04-14 21:03:48+00:00,0
AMZN,$AMZN life time high next is $NFLX $MSFT https://t.co/abeE3uMzjQ,2020-04-14 21:03:47+00:00,0
AMZN,RT @PipsToDollars: I took 55% on those $AMZN 2000p -,2020-04-14 21:02:15+00:00,0
AMZN,"RT @Stocktwits: Gap up, new all time highs. 
 
$AMZN https://t.co/2JOvOsgDGW",2020-04-14 21:02:10+00:00,0
AMZN,"#Stocks with new all time/52 week highs

$NFLX $WMT $INSG $AMZN $DOCU $LLNW $LLY $DG 

Sort results by Time, Chg, %, Vol and more.
#nyse #nasdaq
https://t.co/HJvE5AG0C6",2020-04-14 21:01:27+00:00,0
AMZN,RT @Trader_Green: #thestrat  2-2-1-2UP  In n Out $AMZN https://t.co/y2M0yJYbfJ,2020-04-14 20:57:07+00:00,0
AMZN,Will Coronavirus Kick Grocery Services To The Curb? $AMZN $KR $WMT https://t.co/2MTcXuHEvJ # via @benzinga,2020-04-14 20:56:38+00:00,0
AMZN,@CodeMonk13 I though cadh was king but it might really be $amzn,2020-04-14 20:55:24+00:00,0
AMZN,10 Stocks Leading the Rally in the S&amp;P 500 ETF. $SRE $ALXN $AMZN $WRK $NEM https://t.co/NwMkwU4qHf,2020-04-14 20:52:32+00:00,0
AMZN,@conniewasabi Calls on $amzn and $tsla,2020-04-14 20:51:02+00:00,0
AMZN,"RT @FromValue: Which companies prove to be really #antifragile? Of course: $AMZN, $WMT, $KR, $TDOC, $ZM, $OKTA. What else?",2020-04-14 20:48:14+00:00,0
AMZN,"Which companies prove to be really #antifragile? Of course: $AMZN, $WMT, $KR, $TDOC, $ZM, $OKTA. What else?",2020-04-14 20:47:46+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 20:47:17+00:00,0
AMZN,@MikeG90248905 @jimcramer PANDEMIC is gold but I suggest $pton $amzn $nflx $dpz $etsy or $ea   $mdlz or $mkc $incy $cmg this beats $spy too,2020-04-14 20:46:50+00:00,0
AMZN,$AMZN - #AMZN chart https://t.co/yfpPXXQhM4,2020-04-14 20:45:18+00:00,0
AMZN,@jimcramer PAANDEMICZ- $pep $amzn $atvi $nflx $dpz $etsy $msft $idc $cvs $zoom,2020-04-14 20:44:51+00:00,0
